City,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
405,Lorengau,PG,83.66,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
409,Omboue,GA,76.5,overcast clouds,-1.5746,9.2618,Hotel Olako
413,Garissa,KE,79.0,scattered clouds,-0.4536,39.6401,Sharif Plaza Hotel
414,Dovers,VC,80.13,overcast clouds,12.8833,-61.1833,Ocean Breeze
416,Cockburn Town,TC,79.54,clear sky,21.4612,-71.1419,Osprey Beach Hotel
420,Batticaloa,LK,81.28,overcast clouds,7.7102,81.6924,Grand Star Guest House
422,Conceicao Do Araguaia,BR,75.04,moderate rain,-8.2578,-49.2647,Tarumã Tropical Hotel
426,Monrovia,LR,77.79,clear sky,6.3005,-10.7969,Sunset Inn
429,Kloulklubed,PW,82.9,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
430,Ugoofaaru,MV,81.34,overcast clouds,5.6667,73.0,Ungoofaaru Inn
436,Lumphat,KH,75.09,overcast clouds,13.4878,106.9816,Lumphat Homestay
442,Calamar,CO,78.75,overcast clouds,10.2511,-74.9146,Hostal Katyalex
447,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
448,Puerto Carreno,CO,77.47,broken clouds,6.189,-67.4859,Casa Hotel Victoria
449,San Lorenzo,PY,80.96,clear sky,-25.3333,-57.5333,Hotel del Sur
450,Batemans Bay,AU,77.92,light rain,-35.7167,150.1833,Batemans Bay Marina Resort
456,Tual,ID,85.37,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
457,Ambilobe,MG,84.02,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
460,Palembang,ID,86.09,scattered clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
463,Port Macquarie,AU,85.96,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
469,Mana,GF,76.59,scattered clouds,5.6592,-53.7767,LE SAMANA
471,Antalaha,MG,82.27,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
472,Bambanglipuro,ID,81.61,overcast clouds,-7.95,110.2833,Puri Brata
