City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,Puerto Ayora,EC,-0.7393,-90.3518,69.55,96,79,3.0,broken clouds
109,Malakal,SS,9.5334,31.6605,73.26,24,32,9.8,scattered clouds
110,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,74.25,99,100,1.57,overcast clouds
111,Tobermory,CA,45.2501,-81.6665,27.12,66,99,14.27,overcast clouds
112,Dikson,RU,73.5069,80.5464,-26.55,95,68,4.7,broken clouds
113,Adrar,MR,20.5022,-10.0711,70.16,58,100,14.65,overcast clouds
114,Ostrovnoy,RU,68.0531,39.5131,13.69,83,100,18.57,overcast clouds
115,Morant Bay,JM,17.8815,-76.4093,72.63,81,20,10.07,few clouds
116,Kavieng,PG,-2.5744,150.7967,82.38,78,100,12.37,light rain
117,Narsaq,GL,60.9167,-46.05,44.82,91,100,9.46,overcast clouds
118,Norman Wells,CA,65.282,-126.8329,9.77,97,100,2.08,light snow
119,Mataura,NZ,-46.1927,168.8643,66.47,49,90,12.28,overcast clouds
120,Debre Tabor,ET,11.85,38.0167,56.79,62,75,3.69,broken clouds
121,Makakilo City,US,21.3469,-158.0858,75.52,73,1,4.61,moderate rain
122,Faya,SA,18.3851,42.4509,55.92,54,25,1.68,scattered clouds
123,Sterling,US,39.0062,-77.4286,59.7,92,90,10.0,overcast clouds
124,Mokrous,RU,51.2333,47.5167,25.21,97,100,7.38,overcast clouds
125,Salalah,OM,17.0151,54.0924,73.6,62,17,5.57,few clouds
126,Beloha,MG,-25.1667,45.05,69.22,62,72,12.1,broken clouds
127,Henties Bay,NA,-22.116,14.2845,58.86,79,13,2.1,few clouds
128,Souillac,MU,-20.5167,57.5167,83.35,65,0,3.69,clear sky
129,Shenjiamen,CN,29.9576,122.298,48.33,44,0,10.09,clear sky
130,Kaitangata,NZ,-46.2817,169.8464,75.45,45,61,11.81,broken clouds
131,Akonolinga,CM,3.7667,12.25,65.44,62,86,2.21,overcast clouds
132,Masuguru,TZ,-11.3667,38.4167,77.4,82,60,3.98,light rain
133,Muisne,EC,0.6,-80.0333,73.74,93,100,7.38,light rain
134,Parambu,BR,-6.2111,-40.6944,74.79,68,79,6.31,broken clouds
