City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
104,Soyo,AO,2021-12-18 05:58:13,-6.1349,12.3689,74.53,86,99,3.44
105,Jalu,LY,2021-12-18 05:58:14,29.0331,21.5482,50.94,83,6,10.45
106,Nyandoma,RU,2021-12-18 05:58:14,61.669,40.1991,2.82,100,94,2.35
107,Port Shepstone,ZA,2021-12-18 05:58:14,-30.7414,30.455,64.8,66,100,8.86
108,Dingle,PH,2021-12-18 05:58:14,10.9995,122.6711,86.95,69,87,7.74
109,Port-Gentil,GA,2021-12-18 05:58:15,-0.7193,8.7815,78.76,94,20,0.0
110,Mar Del Plata,AR,2021-12-18 05:58:15,-38.0023,-57.5575,66.09,92,0,1.01
111,Mastic Beach,US,2021-12-18 05:58:15,40.7668,-72.8521,48.54,50,78,3.0
112,Huayang,CN,2021-12-18 05:58:16,34.4155,109.9939,35.29,26,89,8.86
113,Comodoro Rivadavia,AR,2021-12-18 05:58:16,-45.8667,-67.5,66.06,63,0,13.8
114,Zharkent,KZ,2021-12-18 05:58:16,44.1628,80.0,36.07,33,53,3.04
115,Port Alfred,ZA,2021-12-18 05:58:17,-33.5906,26.891,66.9,64,15,25.57
116,Provideniya,RU,2021-12-18 05:58:17,64.3833,-173.3,12.45,93,99,3.94
117,Burgeo,CA,2021-12-18 05:58:17,47.6167,-57.6152,35.11,78,100,30.36
118,Sao Filipe,CV,2021-12-18 05:58:18,14.8961,-24.4956,73.04,82,98,12.21
119,North Bend,US,2021-12-18 05:58:18,43.4065,-124.2243,45.86,100,99,6.82
120,Dabhol,IN,2021-12-18 05:58:18,17.6,73.1667,83.14,37,72,3.6
121,Acarau,BR,2021-12-18 05:58:19,-2.8856,-40.12,82.09,70,62,17.07
122,Sal Rei,CV,2021-12-18 05:58:19,16.1833,-22.9167,70.36,77,100,14.81
123,Vestmannaeyjar,IS,2021-12-18 05:58:19,63.4427,-20.2734,47.34,94,99,9.33
124,Egvekinot,RU,2021-12-18 05:58:20,66.3167,-179.1667,-17.79,88,61,11.77
125,Carnarvon,AU,2021-12-18 05:58:20,-24.8667,113.6333,80.67,50,0,20.71
126,Prince Rupert,CA,2021-12-18 05:53:57,54.3161,-130.3201,33.49,96,90,0.0
127,Ostrovnoy,RU,2021-12-18 05:58:21,68.0531,39.5131,16.3,90,75,11.72
128,Nerchinsk,RU,2021-12-18 05:58:21,51.9833,116.5833,-0.26,92,70,2.06
129,Cape Town,ZA,2021-12-18 05:58:21,-33.9258,18.4232,71.89,57,0,1.99
130,Longyearbyen,SJ,2021-12-18 05:58:22,78.2186,15.6401,31.84,69,75,21.85
131,Geraldton,AU,2021-12-18 05:58:22,-28.7667,114.6,76.12,43,40,12.66
132,Hambantota,LK,2021-12-18 05:58:22,6.1241,81.1185,84.54,84,40,3.44
133,Masumbwe,TZ,2021-12-18 05:58:22,-3.6333,32.1833,66.97,92,100,3.67
134,Fortuna,US,2021-12-18 05:58:23,40.5982,-124.1573,40.42,95,90,6.91
135,Mariana,BR,2021-12-18 05:59:23,-20.3778,-43.4161,67.32,98,99,1.28
136,Sistranda,NO,2021-12-18 05:58:34,63.7256,8.834,46.9,92,100,41.63
137,Saskylakh,RU,2021-12-18 05:59:23,71.9167,114.0833,-30.62,99,73,6.11
138,Vardo,NO,2021-12-18 05:59:24,70.3705,31.1107,30.9,95,100,17.65
139,Fraga,ES,2021-12-18 05:59:24,41.5229,0.3489,40.03,87,0,1.88
140,Hilo,US,2021-12-18 05:56:31,19.7297,-155.09,72.1,1,22,5.19
141,Okitipupa,NG,2021-12-18 05:59:25,6.5047,4.7839,68.49,65,84,3.42
142,Bluff,NZ,2021-12-18 05:59:25,-46.6,168.3333,57.79,71,99,24.96
143,Alyangula,AU,2021-12-18 05:59:25,-13.8483,136.4192,94.87,49,92,10.36
144,Verkhnyaya Inta,RU,2021-12-18 05:59:25,65.9811,60.3094,-10.57,82,12,8.48
145,Touros,BR,2021-12-18 05:59:26,-5.1989,-35.4608,79.7,75,27,14.36
146,Taree,AU,2021-12-18 05:59:26,-31.9,152.4667,90.57,58,71,14.97
147,College,US,2021-12-18 05:59:26,64.8569,-147.8028,9.9,84,100,2.64
148,Hermanus,ZA,2021-12-18 05:59:27,-34.4187,19.2345,67.89,65,25,17.45
149,Mata,PT,2021-12-18 05:59:27,40.683,-7.4592,40.84,75,39,3.98
150,Serramanna,IT,2021-12-18 05:59:27,39.4244,8.9244,45.63,86,0,2.75
151,Hofn,IS,2021-12-18 05:59:28,64.2539,-15.2082,43.63,89,100,6.26
152,Mount Gambier,AU,2021-12-18 05:59:28,-37.8333,140.7667,76.91,36,40,11.5
153,New Norfolk,AU,2021-12-18 05:59:28,-42.7826,147.0587,77.76,30,50,8.99
154,Gushi,CN,2021-12-18 05:59:28,34.6425,109.5843,49.23,23,84,10.58
155,Castelbuono,IT,2021-12-18 05:59:29,37.932,14.0886,50.61,79,51,9.17
156,Bethel,US,2021-12-18 05:59:29,41.3712,-73.414,45.91,65,77,4.56
157,Formosa Do Rio Preto,BR,2021-12-18 05:59:29,-11.0483,-45.1931,70.88,83,99,1.79
158,Sur,OM,2021-12-18 05:59:30,22.5667,59.5289,73.49,54,67,4.81
159,Coihaique,CL,2021-12-18 05:59:05,-45.5752,-72.0662,63.21,59,96,1.14
160,Okmulgee,US,2021-12-18 05:59:30,35.6234,-95.9605,53.78,100,90,8.05
161,Sabang,ID,2021-12-18 05:59:31,5.8933,95.3214,79.48,80,100,13.62
162,Nikolskoye,RU,2021-12-18 05:59:31,59.7035,30.7861,30.09,98,100,2.93
163,Champerico,GT,2021-12-18 05:59:31,14.3,-91.9167,80.04,81,0,5.01
164,La Rioja,ES,2021-12-18 05:58:19,42.25,-2.5,26.38,59,3,5.01
165,Baza,ES,2021-12-18 05:59:32,37.4907,-2.7726,46.74,85,95,5.01
166,Hobart,AU,2021-12-18 05:58:06,-42.8794,147.3294,78.12,33,54,5.01
167,Ilulissat,GL,2021-12-18 05:59:32,69.2167,-51.1,16.84,68,100,8.72
168,Chupaca,PE,2021-12-18 05:59:32,-12.0667,-75.2833,50.07,86,58,1.68
169,Chapais,CA,2021-12-18 05:59:33,49.7834,-74.8492,11.98,90,100,9.89
170,Tuktoyaktuk,CA,2021-12-18 05:59:33,69.4541,-133.0374,-13.0,77,90,3.44
171,Puerto Escondido,MX,2021-12-18 05:59:33,15.85,-97.0667,77.05,78,5,4.94
172,Chuy,UY,2021-12-18 05:59:34,-33.6971,-53.4616,61.65,78,35,7.09
173,Tateyama,JP,2021-12-18 05:59:34,34.9833,139.8667,49.01,33,77,1.95
174,Guerrero Negro,MX,2021-12-18 05:59:34,27.9769,-114.0611,60.67,58,11,6.46
175,Eureka,US,2021-12-18 05:55:02,40.8021,-124.1637,40.68,94,70,5.12
176,Tromso,NO,2021-12-18 05:59:35,69.6496,18.957,37.42,87,75,1.99
177,Itaituba,BR,2021-12-18 05:59:35,-4.2761,-55.9836,73.56,100,100,1.12
178,Pimentel,PE,2021-12-18 05:59:35,-6.8367,-79.9342,66.49,88,61,11.92
179,Kaitangata,NZ,2021-12-18 05:59:36,-46.2817,169.8464,59.94,52,99,11.59
180,Sao Joao Da Barra,BR,2021-12-18 05:59:36,-21.6403,-41.0511,72.79,96,100,3.15
181,Cairns,AU,2021-12-18 05:59:36,-16.9167,145.7667,89.06,67,40,21.85
182,Hamilton,US,2021-12-18 05:57:57,39.1834,-84.5333,44.11,95,90,1.01
183,Cabinda,AO,2021-12-18 05:59:37,-5.55,12.2,74.59,87,100,3.38
184,Ponta Do Sol,PT,2021-12-18 06:00:37,32.6667,-17.1,65.03,71,20,14.03
185,Dikson,RU,2021-12-18 06:00:37,73.5069,80.5464,-26.27,97,56,6.17
186,Non Thai,TH,2021-12-18 06:00:38,15.1981,102.0358,84.97,41,45,17.4
187,Dolores,AR,2021-12-18 06:00:38,-36.3132,-57.6792,59.99,88,0,5.99
188,Orange Park,US,2021-12-18 05:57:31,30.1661,-81.7065,67.95,91,90,0.0
189,Kununurra,AU,2021-12-18 06:00:39,-15.7667,128.7333,103.98,33,95,9.22
190,Clyde River,CA,2021-12-18 06:00:39,70.4692,-68.5914,-8.91,97,100,11.14
191,Nipawin,CA,2021-12-18 06:00:39,53.3668,-104.0009,-21.5,100,47,4.7
192,Batemans Bay,AU,2021-12-18 06:00:40,-35.7167,150.1833,92.91,76,85,16.55
193,Strezhevoy,RU,2021-12-18 06:00:40,60.7333,77.5889,-18.42,99,91,4.65
194,Mehamn,NO,2021-12-18 06:00:40,71.0357,27.8492,37.11,99,100,11.45
195,Lensk,RU,2021-12-18 06:00:41,60.7253,114.9278,-18.31,100,100,2.33
196,Sao Miguel Do Araguaia,BR,2021-12-18 06:00:41,-13.275,-50.1628,71.74,95,98,3.65
197,Sitka,US,2021-12-18 06:00:42,57.0531,-135.33,34.47,80,100,5.88
198,Manono,CD,2021-12-18 06:00:42,-7.3,27.4167,70.57,94,100,5.57
199,Pevek,RU,2021-12-18 06:00:42,69.7008,170.3133,-9.65,95,100,3.44
200,Narsaq,GL,2021-12-18 06:00:43,60.9167,-46.05,37.62,70,51,6.69
201,Sola,VU,2021-12-18 06:00:43,-13.8833,167.55,81.95,70,57,13.15
202,Tonosho,JP,2021-12-18 06:00:43,34.4833,134.1833,46.22,57,64,19.15
203,Brae,GB,2021-12-18 06:00:44,60.3964,-1.353,48.11,82,100,13.71
204,Luganville,VU,2021-12-18 06:00:44,-15.5333,167.1667,81.32,74,55,6.17
205,Bollnas,SE,2021-12-18 06:00:44,61.3482,16.3946,45.39,87,100,8.75
206,Les Cayes,HT,2021-12-18 06:00:45,18.2,-73.75,74.16,78,17,2.86
207,Praia Da Vitoria,PT,2021-12-18 06:00:45,38.7333,-27.0667,56.75,74,95,7.09
208,Port Lincoln,AU,2021-12-18 06:00:45,-34.7333,135.8667,71.71,53,1,5.03
209,Ginir,ET,2021-12-18 06:00:46,7.1333,40.7,68.14,45,84,8.55
210,Hasaki,JP,2021-12-18 06:00:46,35.7333,140.8333,46.29,35,26,24.56
211,Galesong,ID,2021-12-18 06:00:46,-5.3166,119.3661,89.62,69,65,8.5
212,Batticaloa,LK,2021-12-18 06:00:47,7.7102,81.6924,82.17,76,89,11.74
213,Kavieng,PG,2021-12-18 06:00:47,-2.5744,150.7967,83.01,74,95,1.63
214,Koroni,GR,2021-12-18 06:00:48,36.8,21.95,46.08,73,52,14.05
215,Buala,SB,2021-12-18 06:00:48,-8.145,159.5921,76.93,94,100,5.12
216,Lorengau,PG,2021-12-18 06:00:48,-2.0226,147.2712,77.83,89,100,9.1
217,Letterkenny,IE,2021-12-18 06:00:49,54.95,-7.7333,37.49,97,31,2.95
218,Waw,SS,2021-12-18 06:00:09,7.7029,27.9953,76.6,26,72,7.74
219,Padang,ID,2021-12-18 06:00:49,-0.9492,100.3543,75.25,97,100,11.88
220,Bayir,TR,2021-12-18 06:00:50,37.2687,28.2167,34.32,75,99,3.36
221,Itarema,BR,2021-12-18 06:00:50,-2.9248,-39.9167,82.04,69,63,16.26
